year,round,course,rating,slope,par,hole_pars,hole_handicaps,real_hole_handicaps
2012,1,RYDER,71.9,128.0,72,"4,4,4,5,3,5,3,4,4,4,4,3,5,4,4,3,5,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2012,2,WANAMAKER,72.2,139.0,72,"5,4,4,3,4,3,5,4,4,4,3,4,5,4,4,5,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2012,3,WANAMAKER,72.2,139.0,72,"5,4,4,3,4,3,5,4,4,4,3,4,5,4,4,5,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2012,4,ABACOA,72.1,134.0,72,"4,4,3,4,5,3,4,5,4,5,4,3,4,5,3,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2013,1,BLACK FOREST,72.8,143.0,73,"5,4,4,4,3,4,5,3,4,5,4,3,4,4,3,5,4,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2013,2,LOCHENHEATH,74.4,144.0,72,"4,5,3,4,4,4,5,3,4,5,3,4,4,4,3,4,4,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2013,3,THE LEGEND,71.4,130.0,72,"5,4,4,3,4,4,5,4,3,4,4,3,5,4,3,4,4,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2013,4,FOREST DUNES,,,72,"4,4,3,4,5,4,5,4,3,4,3,4,4,4,5,3,4,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2014,1,BLACK LAKE,71.9,137.0,72,"5,4,4,4,3,4,4,3,5,4,4,3,4,3,5,4,4,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2014,2,THE TRIBUTE,70.0,125.0,72,"4,4,4,5,4,3,5,4,3,4,5,4,3,4,4,5,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2014,3,THE SIGNATURE,71.1,133.0,72,"4,5,4,3,4,5,4,3,4,4,3,5,4,4,4,5,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2014,5,THE MASTERPIECE,71.4,134.0,71,"5,3,4,3,5,3,4,4,4,5,4,4,3,4,4,3,4,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2015,1,YARROW,70.2,124.0,72,"5,3,4,4,4,3,5,4,4,4,5,4,4,4,3,5,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2015,2,BEDFORD VALLEY,69.3,135.0,72,"4,4,4,5,3,4,5,3,4,4,4,3,5,4,4,5,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2015,3,STONEHEDGE SOUTH,71.0,129.0,72,"4,4,3,5,4,3,5,4,4,5,4,4,3,4,4,3,5,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2015,4,GULL LAKE WEST,69.1,124.0,71,"4,3,4,4,5,3,4,4,5,4,3,4,3,4,4,4,4,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2016,1,THE GRANDE,70.8,120.0,72,"4,3,4,5,3,4,4,5,4,4,5,3,4,5,4,4,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2016,2,CASCADES,71.2,132.0,72,"5,5,4,3,4,5,4,4,3,5,3,4,4,4,4,3,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2016,3,CALDERONE,69.3,127.0,72,"5,3,4,4,4,5,4,3,4,5,4,4,5,4,3,4,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2016,4,CALDERONE,69.1,124.0,72,"5,3,4,4,4,5,4,3,4,5,4,4,5,4,3,4,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2017,1,SUNDANCE,69.9,129.0,72,"4,4,3,4,4,5,4,3,5,4,4,4,3,5,4,5,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2017,2,TORCH,71.5,128.0,72,"4,4,5,4,3,5,3,4,4,4,5,4,3,4,5,4,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2017,3,TORCH,71.5,128.0,72,"4,4,5,4,3,5,3,4,4,4,5,4,3,4,5,4,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2017,4,SUNDANCE,69.9,129.0,72,"4,4,3,4,4,5,4,3,5,4,4,4,3,5,4,5,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2018,1,GAILES,69.7,122.0,72,"4,3,4,3,4,4,5,5,4,4,5,3,4,4,5,3,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2018,2,SERRADELLA,71.5,123.0,72,"4,4,3,5,4,4,3,5,4,4,5,3,4,4,5,3,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2018,3,BLACKSHIRE,69.7,126.0,72,"4,5,4,3,4,4,3,4,5,4,3,5,4,4,4,4,3,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2018,4,RED HAWK,69.7,135.0,71,"4,4,3,4,5,3,5,4,4,4,5,3,4,3,4,5,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2019,1,TULLYMORE,71.2,141.0,72,"5,4,4,3,3,4,3,5,4,4,4,3,5,4,3,5,4,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2019,2,ST IVES,70.5,141.0,72,"4,3,4,5,4,4,5,3,4,4,5,4,3,4,4,3,5,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2019,3,TULLYMORE,71.2,141.0,72,"5,4,4,3,3,4,3,5,4,4,4,3,5,4,3,5,4,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2019,4,ST IVES,70.5,141.0,72,"4,3,4,5,4,4,5,3,4,4,5,4,3,4,4,3,5,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2020,1,ARCADIA SOUTH,70.6,125.0,72,"4,4,5,4,3,5,4,3,4,4,5,3,4,5,4,3,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2020,2,BETSIE,72.2,136.0,72,"5,3,4,4,4,4,3,5,4,5,3,4,4,3,4,4,5,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2020,3,ARCADIA BLUFFS,70.5,134.0,72,"5,3,5,4,5,3,4,4,3,4,5,4,3,4,5,4,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2020,4,MOUNTAIN,70.9,131.0,72,"4,3,4,4,3,5,4,4,5,4,4,3,4,5,4,4,3,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2021,1,FOUNTAINS,71.7,136.0,72,"4,5,3,4,3,4,5,5,3,5,3,5,4,4,5,3,4,3","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2021,2,REFLECTIONS,68.8,130.0,72,"4,5,4,3,5,3,4,5,3,5,3,5,4,4,5,3,4,3","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2021,3,SWAMPFIRE,69.8,127.0,72,"4,5,3,4,3,5,4,5,3,5,3,4,4,5,4,4,3,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2021,4,MONARCH,71.2,134.0,72,"4,4,3,4,5,3,4,5,4,5,4,3,4,5,3,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2022,1,STOATIN BRAE,69.2,119.0,71,"4,3,4,4,4,5,3,4,5,4,3,4,4,3,4,5,3,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2022,2,STONEHEDGE N,71.0,129.0,72,"5,3,4,3,5,4,4,3,5,4,3,5,3,5,4,4,3,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2022,3,STOATIN BRAE,69.2,119.0,71,"4,3,4,4,4,5,3,4,5,4,3,4,4,3,4,5,3,5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",False
2023,1,FOREST DUNES,71.3,135.0,72,"4,4,3,4,5,4,5,4,3,4,3,4,4,4,5,3,4,5","15,1,13,9,5,11,7,3,17,4,18,10,14,2,6,8,16,12",True
